avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
151.82,89.42,1,1,0.5,2,2,2,2,481.46,459.46
86.76,154.84,1,1,0.5,2,2,2,5,481.6,479.88
92.28,148.46,1,1,0.5,2,2,5,2,481.74,480.18
69.06,170.66,1,1,0.5,2,2,5,5,481.14,480.88
87.12,155.4,1,1,0.5,2,5,2,2,484.62,264.86
82.6,158.98,1,1,0.5,2,5,2,5,483.74,451.12
84.4,155.68,1,1,0.5,2,5,5,2,484.02,434.82
67.54,170.34,1,1,0.5,2,5,5,5,484.42,471.76
93.6,146.46,1,1,0.5,5,2,2,2,483.36,281.1
85.64,152.68,1,1,0.5,5,2,2,5,483.02,463.0
88.72,150.88,1,1,0.5,5,2,5,2,483.54,459.64
68.4,171.68,1,1,0.5,5,2,5,5,483.42,476.68
69.78,171.0,1,1,0.5,5,5,2,2,484.76,209.64
69.0,170.54,1,1,0.5,5,5,2,5,485.24,373.04
68.04,172.82,1,1,0.5,5,5,5,2,484.9,351.22
64.44,174.26,1,1,0.5,5,5,5,5,484.56,447.56
159.16,80.76,1,2,0.5,2,2,2,2,481.86,239.57
156.66,83.3,1,2,0.5,2,2,2,5,482.2,425.4
158.84,79.62,1,2,0.5,2,2,5,2,481.26,410.90999999999997
136.46,104.84,1,2,0.5,2,2,5,5,481.86,474.76
88.3,155.88,1,2,0.5,2,5,2,2,483.88,133.22
88.34,153.14,1,2,0.5,2,5,2,5,483.66,241.23000000000002
87.9,156.32,1,2,0.5,2,5,5,2,484.08,228.73
87.12,150.46,1,2,0.5,2,5,5,5,483.88,300.81
92.46,148.2,1,2,0.5,5,2,2,2,483.56,139.81
93.04,148.2,1,2,0.5,5,2,2,5,483.06,252.81
92.22,149.16,1,2,0.5,5,2,5,2,482.96,236.89000000000001
92.3,148.72,1,2,0.5,5,2,5,5,483.76,320.78
68.98,171.16,1,2,0.5,5,5,2,2,485.98,103.08999999999999
69.94,170.3,1,2,0.5,5,5,2,5,484.94,186.89000000000001
69.52,171.12,1,2,0.5,5,5,5,2,485.5,179.98
68.86,172.06,1,2,0.5,5,5,5,5,484.82,236.91
157.32,83.64,1,3,0.5,2,2,2,2,481.62,158.88
156.46,82.18,1,3,0.5,2,2,2,5,481.9,283.1933333333333
155.88,81.54,1,3,0.5,2,2,5,2,482.02,269.4066666666667
156.18,83.94,1,3,0.5,2,2,5,5,481.72,360.90000000000003
89.54,150.38,1,3,0.5,2,5,2,2,484.28,90.35333333333334
88.2,151.02,1,3,0.5,2,5,2,5,484.02,161.38666666666666
87.88,153.38,1,3,0.5,2,5,5,2,483.78,150.76666666666668
87.72,152.96,1,3,0.5,2,5,5,5,483.28,203.00666666666666
93.34,146.38,1,3,0.5,5,2,2,2,482.82,94.23333333333333
92.9,148.06,1,3,0.5,5,2,2,5,483.02,167.75333333333333
92.12,149.8,1,3,0.5,5,2,5,2,483.3,159.06666666666666
92.48,148.42,1,3,0.5,5,2,5,5,483.4,212.74
