avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
47.6,3.6,1,1,0.1,2,2,2,5,148.42,253.4
46.4,2.22,1,2,0.1,2,2,2,5,141.3,128.64
45.96,1.78,1,3,0.1,2,2,2,5,140.22,83.27333333333333
46.3,2.04,1,4,0.1,2,2,2,5,140.56,63.760000000000005
48.7,2.12,1,5,0.1,2,2,2,5,149.14,53.412
47.8,1.82,1,6,0.1,2,2,2,5,149.7,41.47666666666667
48.78,2.02,1,7,0.1,2,2,2,5,149.46,37.65714285714286
48.78,2.02,1,8,0.1,2,2,2,5,147.8,33.42999999999999
47.62,2.02,1,9,0.1,2,2,2,5,147.16,28.846666666666668
48.18,2.12,1,10,0.1,2,2,2,5,148.8,26.518
47.94,3.36,2,1,0.1,2,2,2,5,72.91,258.12
47.44,1.4,2,2,0.1,2,2,2,5,73.59,128.54999999999998
47.32,0.86,2,3,0.1,2,2,2,5,72.61,86.92666666666666
46.3,0.8,2,4,0.1,2,2,2,5,71.14,61.605
47.04,0.72,2,5,0.1,2,2,2,5,70.9,50.716
48.2,0.8,2,6,0.1,2,2,2,5,74.80000000000001,44.20666666666667
47.58,0.78,2,7,0.1,2,2,2,5,72.77000000000001,36.52857142857143
47.92,0.7,2,8,0.1,2,2,2,5,71.37,32.61500000000001
48.04,0.78,2,9,0.1,2,2,2,5,72.06,29.026666666666667
48.94,0.72,2,10,0.1,2,2,2,5,74.7,26.088
49.22,3.42,3,1,0.1,2,2,2,5,50.01333333333333,268.58
48.64,1.48,3,2,0.1,2,2,2,5,50.22666666666667,134.12
47.58,0.52,3,3,0.1,2,2,2,5,48.94,85.44
48.04,0.18,3,4,0.1,2,2,2,5,48.66,65.57000000000001
49.34,0.08,3,5,0.1,2,2,2,5,49.84,53.464
48.78,0.2,3,6,0.1,2,2,2,5,49.28,44.31999999999999
48.52,0.14,3,7,0.1,2,2,2,5,49.46,38.502857142857145
48.76,0.08,3,8,0.1,2,2,2,5,49.77333333333333,32.9825
48.04,0.04,3,9,0.1,2,2,2,5,49.080000000000005,29.10888888888889
47.76,0.06,3,10,0.1,2,2,2,5,48.98666666666667,26.137999999999998
48.32,3.6,4,1,0.1,2,2,2,5,36.9,259.48
48.0,1.54,4,2,0.1,2,2,2,5,36.25,127.67
48.38,0.48,4,3,0.1,2,2,2,5,36.795,87.74666666666667
48.5,0.08,4,4,0.1,2,2,2,5,36.935,64.975
49.32,0.0,4,5,0.1,2,2,2,5,38.15,53.14799999999999
49.02,0.0,4,6,0.1,2,2,2,5,37.544999999999995,44.04666666666666
47.76,0.0,4,7,0.1,2,2,2,5,36.565,37.60857142857143
48.82,0.0,4,8,0.1,2,2,2,5,37.580000000000005,32.8025
49.34,0.0,4,9,0.1,2,2,2,5,37.815000000000005,29.64444444444444
48.58,0.0,4,10,0.1,2,2,2,5,36.875,26.21
47.64,3.12,5,1,0.1,2,2,2,5,29.612000000000002,255.82
48.52,1.56,5,2,0.1,2,2,2,5,29.72,130.82
49.02,0.48,5,3,0.1,2,2,2,5,29.964000000000006,89.38666666666666
47.02,0.02,5,4,0.1,2,2,2,5,29.312000000000005,62.265
49.5,0.0,5,5,0.1,2,2,2,5,30.235999999999997,54.576
47.72,0.0,5,6,0.1,2,2,2,5,29.568,43.98
49.28,0.0,5,7,0.1,2,2,2,5,30.324,37.92857142857143
48.12,0.0,5,8,0.1,2,2,2,5,29.252000000000002,32.5725
48.9,0.0,5,9,0.1,2,2,2,5,29.9,29.508888888888894
48.54,0.0,5,10,0.1,2,2,2,5,29.964,26.894
